hazardIntensityNatural,hazardIntensitySocial,hazardFrequencyNatural,hazardFrequencySocial,naturalThreatDuration,tolerance_for_deviation,avg_anxiety,
3.0,1.0,3.0,3.0,3.0,0.65,5.792400956775372,
3.0,1.0,3.0,3.0,3.0,0.65,5.906076800083348,
3.0,1.0,3.0,3.0,3.0,0.65,6.169848143717379,
3.0,1.0,3.0,3.0,3.0,0.65,6.2140482498885445,
3.0,1.0,3.0,3.0,3.0,0.65,5.898028763688752,
3.0,1.0,3.0,3.0,3.0,0.65,6.329399253308948,
3.0,1.0,3.0,3.0,3.0,0.65,5.7123459847468165,
3.0,1.0,3.0,3.0,3.0,0.65,6.009966264988058,
3.0,1.0,3.0,3.0,3.0,0.65,5.905284403879552,
3.0,1.0,3.0,3.0,3.0,0.65,6.041188005828567,
3.0,1.0,3.0,3.0,3.0,0.65,5.935138050240434,
3.0,1.0,3.0,3.0,3.0,0.65,5.956174828313221,
3.0,1.0,3.0,3.0,3.0,0.65,5.940819622786043,
3.0,1.0,3.0,3.0,3.0,0.65,5.980409596938089,
3.0,1.0,3.0,3.0,3.0,0.65,6.096801992801909,
3.0,1.0,3.0,3.0,3.0,0.65,6.576898213728396,
3.0,1.5,3.0,3.0,3.0,0.65,5.809876270633887,
3.0,1.5,3.0,3.0,3.0,0.65,6.0068409621779395,
3.0,1.5,3.0,3.0,3.0,0.65,6.049822337836833,
3.0,1.0,3.0,3.0,3.0,0.65,6.112047567191791,
3.0,1.5,3.0,3.0,3.0,0.65,6.306209276137787,
3.0,1.5,3.0,3.0,3.0,0.65,6.062736031522405,
3.0,1.5,3.0,3.0,3.0,0.65,5.81252654018152,
3.0,1.5,3.0,3.0,3.0,0.65,5.695657886813786,
3.0,1.5,3.0,3.0,3.0,0.65,6.137362814779984,
3.0,1.5,3.0,3.0,3.0,0.65,6.258733716407762,
3.0,1.5,3.0,3.0,3.0,0.65,5.4467269978062385,
3.0,1.5,3.0,3.0,3.0,0.65,5.766853071197977,
3.0,1.5,3.0,3.0,3.0,0.65,5.925815746984058,
3.0,1.5,3.0,3.0,3.0,0.65,6.046965857597113,
3.0,1.5,3.0,3.0,3.0,0.65,5.60960549159356,
3.0,1.5,3.0,3.0,3.0,0.65,5.794170448663206,
3.0,1.5,3.0,3.0,3.0,0.65,6.1125758673223265,
3.0,1.5,3.0,3.0,3.0,0.65,6.03895710041616,
3.0,1.5,3.0,3.0,3.0,0.65,5.990894364693059,
3.0,1.5,3.0,3.0,3.0,0.65,5.997083282274376,
3.0,1.5,3.0,3.0,3.0,0.65,6.011382085863648,
3.0,1.0,3.0,3.0,3.0,0.65,5.789812957129779,
3.0,1.0,3.0,3.0,3.0,0.65,6.018378575319153,
3.0,2.0,3.0,3.0,3.0,0.65,5.714475978737739,
3.0,2.0,3.0,3.0,3.0,0.65,5.619119549309457,
3.0,1.0,3.0,3.0,3.0,0.65,6.119029882977556,
3.0,2.0,3.0,3.0,3.0,0.65,6.128697958990798,
3.0,1.5,3.0,3.0,3.0,0.65,5.831200293690916,
3.0,1.5,3.0,3.0,3.0,0.65,6.347404914967826,
3.0,1.5,3.0,3.0,3.0,0.65,5.89977799065542,
3.0,2.0,3.0,3.0,3.0,0.65,5.736760847268955,
3.0,2.0,3.0,3.0,3.0,0.65,5.842036729054302,
3.0,1.5,3.0,3.0,3.0,0.65,6.398610258324339,
3.0,2.0,3.0,3.0,3.0,0.65,6.133524459663096,
3.0,1.0,3.0,3.0,3.0,0.65,5.791428828516618,
3.0,2.0,3.0,3.0,3.0,0.65,6.089748153751503,
3.0,2.0,3.0,3.0,3.0,0.65,5.9758980267993795,
3.0,2.0,3.0,3.0,3.0,0.65,6.036367398387953,
3.0,2.0,3.0,3.0,3.0,0.65,5.943017277128782,
3.0,2.0,3.0,3.0,3.0,0.65,5.6450573219730265,
3.0,2.0,3.0,3.0,3.0,0.65,5.779350618894999,
3.0,2.0,3.0,3.0,3.0,0.65,6.0426972507824,
3.0,1.0,3.0,3.0,3.0,0.65,6.001779054123452,
3.0,2.0,3.0,3.0,3.0,0.65,5.728613775218776,
3.0,2.0,3.0,3.0,3.0,0.65,5.995233708794233,
3.0,2.0,3.0,3.0,3.0,0.65,5.958183833749072,
3.0,2.0,3.0,3.0,3.0,0.65,6.076796589763286,
3.0,2.0,3.0,3.0,3.0,0.65,6.17224989898557,
3.0,2.5,3.0,3.0,3.0,0.65,6.015003918502434,
3.0,2.0,3.0,3.0,3.0,0.65,6.071816812213276,
3.0,2.0,3.0,3.0,3.0,0.65,5.895020023038065,
3.0,2.0,3.0,3.0,3.0,0.65,5.987026029574899,
3.0,1.0,3.0,3.0,3.0,0.65,5.597284451860007,
3.0,2.5,3.0,3.0,3.0,0.65,5.678322606514024,
3.0,2.5,3.0,3.0,3.0,0.65,6.052958328478907,
3.0,2.5,3.0,3.0,3.0,0.65,6.020043954502661,
3.0,2.0,3.0,3.0,3.0,0.65,5.741737198421095,
3.0,2.5,3.0,3.0,3.0,0.65,6.299805765584382,
3.0,2.5,3.0,3.0,3.0,0.65,5.7257810111195555,
3.0,2.0,3.0,3.0,3.0,0.65,6.146915712798281,
3.0,2.5,3.0,3.0,3.0,0.65,6.281133269350566,
3.0,2.5,3.0,3.0,3.0,0.65,6.013211411892684,
3.0,2.5,3.0,3.0,3.0,0.65,5.873810880966191,
3.0,2.5,3.0,3.0,3.0,0.65,6.376131496586095,
3.0,1.0,3.0,3.0,3.0,0.65,6.141341569475133,
3.0,2.5,3.0,3.0,3.0,0.65,6.177156778312263,
3.0,2.5,3.0,3.0,3.0,0.65,5.94841916431853,
3.0,2.5,3.0,3.0,3.0,0.65,5.881693207788943,
3.0,2.5,3.0,3.0,3.0,0.65,5.883599279244547,
3.0,2.5,3.0,3.0,3.0,0.65,5.696868350432315,
3.0,2.0,3.0,3.0,3.0,0.65,6.199186035234735,
3.0,3.0,3.0,3.0,3.0,0.65,5.698735740516322,
3.0,2.5,3.0,3.0,3.0,0.65,6.063963816630658,
3.0,3.0,3.0,3.0,3.0,0.65,6.214973234259614,
3.0,2.5,3.0,3.0,3.0,0.65,5.779273780471547,
3.0,3.0,3.0,3.0,3.0,0.65,6.113758982828678,
3.0,2.5,3.0,3.0,3.0,0.65,6.042669800138505,
3.0,2.5,3.0,3.0,3.0,0.65,6.268555489340879,
3.0,2.5,3.0,3.0,3.0,0.65,6.031839536572541,
3.0,2.5,3.0,3.0,3.0,0.65,5.856386655404085,
3.0,3.0,3.0,3.0,3.0,0.65,5.992094453947771,
3.0,2.5,3.0,3.0,3.0,0.65,6.075904768426948,
